Name,Phone
"Indus International School, Bangalore Urban",""
"Indus International School, Bangalore Urban","+91-80-30895900 / +91-80-22895900 & 917"
"Ryan International School, Bengaluru","080-28525439, 080-28475080"
"Jnanasarovara International Residential School, Mysore","0821-2479814, 0821-2479813"
"Swaminarayan International School, Bangalore Urban","080-32985000, 080-28437261"
"Ryan International School, Yelahanka","080-65709795, 080-65709796"
"Varin International Residential School, Tumkur","0816-6532327, 0816-2299500"
"Venus International Public School, Bengaluru","080-65354403, 09880003920"
"Infant Jesus School, Chikmagalur","08262-224231"
"St. Mary's International School, Chikkamagaluru","+91 8262-228402, 228403"
"Jubilee International Public School, Bengaluru","080-23182191"
"Sidhartha International School, Bengaluru","080-69571922"
"Podar International School, Bengaluru","080-32470252, 080-32213149"
"Oakridge International School, Bangalore Urban","080-27804411"
"Jain International Residential School, Bangalore Urban","080 52401 62401 , 62401 2562112"
"Sri Krishna International School, Bengaluru","080-26690799"
"Sanganabasava International Residential School, Bijapur",""
"V S S International Public School, Bangalore Urban","080 28482800"
"Venkat International Public School, Bangalore Urban","080 23502735 , 2339294"
"Vidyavaridhi International School, Tumkur","0484 08133321404 , 02522-230162"
"Shree Sangamanath International Residential School, Bagalkot","080 08350-280145 , 28562544"
"Sadhguru Sainath International School, Bangalore Urban","08064536855"
"Noor International Public School, Bidar","0848 2221297"
"Vyasa International School, Bangalore Urban","080 9972035137, 23454777, 23457793 , 222178, 23451199, 9611144584"
"Sunrise International Residential School, Bangalore Urban","0422 9900971718 , 2245644"
"Patriswamy International Public School, Bidar","080 0842-226004 , 28562544"
"Sri Ranganath International School, Bagalkot","0755 08354201201 , 2620017"
"Sandeepani International Residential School, Chitradurga","080-28486827"
"RMS International School, Bangalore Urban","080-26662190"
"Nitte International School, Bangalore Urban","080 32322014, 080 32322015 Mob : +91-9972375240"
"Rockvalley International School, Kolar","08152 210684"
"S S Kadapatti International Public School, Bagalkot","08351260221"
"Swaminarayan International School, Gulbarga",""
"Sparkles International School, Gulbarga","0847222411, 224411"
"Leaders International School, Kolar","08155 292174"
"Swamy Vivekananda International Public School, Bagalkot","08353-255005"
"Vidya Sanskaar International Public School, Bangalore Urban","080-28536855"
"Prudence International Residential School, Tumkur","0341 08162243726 , 82305"
"Royal International Public School, Bangalore Urban","9343517803"
"Jnanasagara International Public School, Hassan","08176-252077"
"Lord Palace International Public School, Bagalkot","08350-9620935005"
"NPS International School, Mysore","0821-2598832, 2598852, 2598862"
"Saamar International Islamic School, Bangalore Urban","+ 91 80 28443545"
"Oasis International School, Bangalore Urban",""
"Venkat International Pub School, Bangalore Urban","044 22780083 , 04424413203"
"Stonehill International School, Bangalore Urban","+91 8043418300, +91 9008307684 / 8043418318"
"Podar International School, Hassan","08172-245855"
"Sri Vidyalakshmi International Public School, Bangalore Urban","08023486601"
"Nirman International Public School, Bangalore Urban","08023289883"
"J.k.international School, Dharwad","08362353160"
"Vijaya International School, Bagalkot","08350282755"
"Swaminarayan International School, Bangalore Urban","08032985000"
"Vidyabhavan International Public School, Bagalkot","08353221150"
"Nehru International Public School, Bagalkot","08357-250229"
"The Jain International School, Kolar",""
"M.v.j. International School, Bangalore Urban","07492 080 25400295,25400297"
"United International School, Bangalore Rural","9483514744, 9483514755"
"Vagdevi International Residential School, Chitradurga","9980760626"
"V. L. S. International School, Bengaluru","080-23481564, 080-42060445"
"Suguna International School, Kolar","9353046808, 9353046812"
"Vishwajyothi International Public School, Bellary","08396-222154"
"Kunigal Valley International Residential School, Tumkur","08132-292391"
"J.S.S. Public School, Mysore","0821 2548262 , 08212470330"
"J S S Public School, Bangalore Urban","080 22970131 , 6712044 26717637"
"J S S Public School, Mysore","0821 2414691 , 0821-2411004"
"J. Tontadarya Primary School, Gadag","08381262200"
"J S S Pub School, Mysore","0821 2371460 , 9886654926"
"S. J. R. Kengeri Public School, Bengaluru","080-28484675"
"Jagadguru Tontadarya Residential School, Gadag","08371 262695 , 232446"
"Sri Jagadguru Tontadarya Vidyapeeth School, Gadag","08372236933"
"S J R Public School, Bangalore Urban","080 25432147 , 25440357"
"Jai Tulsi Vidya Vihar, Bangalore Urban","080-28437061"
"Jain Public School, Bangalore Urban","(080)7562075"
"Jain Public School, Davanagere","08027577201"
"Jain Public School, Kolar","8553015671"
"Jain Public School, Tumkur","8553015671"
"Shree Mahaveer Jain Vidyalaya, Mysore","08212475247"
"Janadeepa School, Shimoga","08282 292018 , 08182-240223"
"Jain Vidyalaya, Davanagere","08192-232424, 235766"
"Jawahar Navodaya Vidyalaya, Belgaum","08338 83340 , 774710"
"Jawahar Navodaya Vidyalaya, Kolar","08154 56054 , 56054"
"Jawahar Navodaya Vidyalaya, Mandya","08232 36263 , 36020"
"Jawahar Navodaya Vidyalaya, Hassan","08175 265429"
"Jawahar Navodaya Vidyalaya, Shimoga","08182 34250 , 34243 34243"
"Jawahar Navodaya Vidyalaya, Dharwad","0836 778326 , 774710"
"Jawahar Navodaya Vidyalaya, Kodagu","08272 28815 , 25305"
"Jawahar Navodaya Vidyalaya, Bangalore Rural","080 - 27623364"
"Jawahar Navodaya Vidyalaya, Uttara Kannada","08301 43326 , 43640"
"Jawahar Navodaya Vidyalaya, Bijapur","08426 30088 , 30130 30130"
"Jawahar Navodaya Vidyalaya, Chikkamagaluru","08266 50604 , 50744"
"Jawahar Navodaya Vidyalaya, Bidar","08481 50278 , 30130"
"Jawahar Navodaya Vidyalaya, Bellary","08391 69237 , 69237"
"Jawahar Navodaya Vidyalaya, Gulbarga","08479 42051 , 42332"
"Jawahar Navodaya Vidyalaya, Mysore","08226 33306 , 69237"
"Jawahar Navodaya Vidyalaya, Chitradurga","08193 27218 , 43640"
"Jawahar Navodaya Vidyalaya, Koppal","08534 88444 , 88444"
"Jawahar Navodaya Vidyalaya, Udupi","08253 251260 , 71007 251490"
"Jawahar Navodaya Vidyalaya, Tumkur","0816 63216 , 63316"
"Jawahar Navodaya Vidyalaya, Gadag","08371 42477 , 63316"
"Jawahar Navodaya Vidyalaya, Raichur","08537 80860 , 824679363"
"Jawahar Navodaya Vidyalaya, Bangalore Urban","080-28469055"
"Jawahar Navodaya Vidyalaya, Haveri","0836 873075 , 251490"
"Jawahar Navodaya Vidyalaya, Davanagere","08189-239138 08189-239038"
"Jawahar Navodaya Vidyalaya, Mysore","08189 239138 , 239038"
"Jawahar Navodaya Vidyalaya, Bagalkot","08357 721416 , 824679363"
"Jawahar Navodya Vidyalaya, Dakshina Kannada","08255 261300"
"Jindal Vidya Mandir, Bellary","08395 240374 , 08395-240212"
"Sera-je Secondary School, Mysore","08223 54418 52771 , 52771 52772"
"Jnana Sweekar Public School, Bangalore Urban","06152 080-28427472 , 22458"
"Jnana Vikas National Public School, Bangalore Urban","08284 08027282998 , 28562544"
"Montessori Public School, Raichur","08535220415"
"Police Modern School, Bangalore Urban","080 25506765 , 25503330"
"Jnana Vijnana Vidya Peetha, Bangalore Urban","080 26393682"
"Montfort Vidyasagar, Mandya","08236-257625"
"Sri Mookambika Public School, Udupi","09242646542"
"Mother Teresa School, Bangalore Urban","080 08028380124 , 6637959"
