School Name,Phone,Address
"Mandavya Engish Medium High School Mandya, Karnataka","(08232) 230114","Nehru NagaraMandya MANDYA(Dist) Karnataka Pincode - 571403"
"Manju Primary And High School Gadag, Karnataka","(08372) 266776","Kanaginhal RoadSharan Basaveshwar NagarGadag Betgeri GADAG(Dist) Karnataka Pincode - 582101"
"Mental Retarded Residential School Gadag, Karnataka","(08372) 245745","Manju Education SocietiesRangavadootara NagarBetageri GADAG(Dist) Karnataka Pincode - 582102"
"N.V. English Medium School Gulbarga, Karnataka","(08472) 222259","N.V. GroundGulbarga GULBARGA(Dist) Karnataka"
"N.V. Vidyaniketan High School Gulbarga, Karnataka","","Venkatesh NagarGulbarga GULBARGA(Dist) Karnataka Pincode - 585102"
"National Public School Haveri, Karnataka","(08373) 261182","Near Venkateshwara TempleChowdeshwari NagarMedleri RoadRanebennur HAVERI(Dist) Karnataka Pincode - 581115"
"Navanagar Rotary English Medium High School Dharwad, Karnataka","","Navanagar Rotary English Medium High SchoolNavanagarDharwad DHARWAD(Dist) Karnataka Pincode - 580001"
"Nirmala Girls' High School Shimoga, Karnataka","(08183) 226871","Sagar PostShimoga SHIMOGA(Dist) Karnataka Pincode - 577401"
"Nursing Rao Desai High School Haveri, Karnataka","9964585914","Akki-alur Tq:hangal Di:haveriHaveri HAVERI(Dist) Karnataka Pincode - 581102"
"Podar Jumbo Kids Play School Davangere, Karnataka","9.1974077043e+011","D.No 2654 Ist MainDental College RoadNear Gundi circle M.C.C. B Block DAVANGERE(Dist) Karnataka Pincode - 577004"
"Presentation Convent Higher Primary School Dharwad, Karnataka","(0836) 2749980","Opposite K.C. ParkDharwad DHARWAD(Dist) Karnataka Pincode - 580008"
"Presentation Girl's High School Dharwad, Karnataka","(0836) 2446770","Opposite K.C. ParkDharwad DHARWAD(Dist) Karnataka Pincode - 580008"
"Prin Rotary Central School Gadag, Karnataka","(08372) 210454","Ashraya ColonyKrishna NagarBetageri GADAG(Dist) Karnataka Pincode - 582103"
"Radiant International School Haveri, Karnataka","(06115) 31450, 3111351","Saguna MoreHaveri HAVERI(Dist) Karnataka Pincode - 800015"
"Ram Raj Composite Junior College Bidar, Karnataka","(08483) 270442","19.Hyderabad RoadHumnabadBidar BIDAR(Dist) Karnataka Pincode - 585330"
"S.G.B.D. High School Haveri, Karnataka","(08375) 216061","Hamsabhavi RoadByadgiHaveri HAVERI(Dist) Karnataka Pincode - 581106"
"Royal Palace School Bagalkot, Karnataka","(08353) 200360","JamkhandiBagalkot BAGALKOT(Dist) Karnataka Pincode - 587302"
"S.K.G.P. High School Haveri, Karnataka","(08375) 289500","Kankatti CircleKaginelli RoadByadgi HAVERI(Dist) Karnataka Pincode - 580016"
"S.K.V. High School Haveri, Karnataka","(08375) 288499","Byadgi Main RoadChikkabasurByadgi HAVERI(Dist) Karnataka Pincode - 581106"
"S.N. Sharada Girls High School Kolar, Karnataka","(08159) 244998, 244942","KBP RoadMuthyalpetMulbagal KOLAR(Dist) Karnataka Pincode - 563131"
"Sacred Heart Higher Primary School Chickmagalur, Karnataka","(08265) 240503","BasrikatteKoppa TalukChikmagalur CHICKMAGALUR(Dist) Karnataka Pincode - 577114"
"Sahyadri Central School Shimoga, Karnataka","(08181) 228035","Azad RoadKushavathiThirthahalli SHIMOGA(Dist) Karnataka Pincode - 577432"
"Sayyid Akbar Husayni School Gulbarga, Karnataka","08472-23939","Principal Name: Mr Benjamin Daniel Khaja Bandanawaz MargNear Dargah Rauza-e-buzurgGulbarga GULBARGA(Dist) Karnataka Pincode - 585104"
"Shaheen Talent School - Pu College Iit Academy Bidar, Karnataka","(08482) 230450, 230990","Ahmed BaghGole KhanaBidar BIDAR(Dist) Karnataka Pincode - 585401"
"Sharada Residential School Udupi, Karnataka","(0820) 2523129, 2534991","KunjibettuUdupi UDUPI(Dist) Karnataka Pincode - 576102"
"Sharanabasaveshwar Vidya Samiti School Gadag, Karnataka","(08372) 245215","Sharanabasaveshwar NagarGadag BetgeriGadag GADAG(Dist) Karnataka Pincode - 582101"
"Shishu Vihar Higher Praimary School Gulbarga, Karnataka","(08474) 236515","ChittapurGulbarga GULBARGA(Dist) Karnataka Pincode - 585211"
"Shri Manjunatheshwara Central School Dharwad, Karnataka","(0836) 2462005, 2461184","VidyagiriDharwad DHARWAD(Dist) Karnataka Pincode - 580004"
"Shri Marula Shankar Handicapped School Haveri, Karnataka","(08375) 228008","Byadgi MainSangameshwara NagarByadgi HAVERI(Dist) Karnataka Pincode - 581106"
"Shri Ranganath International School Bagalkot, Karnataka","(8470) 8147427275","Badami RoadShigikere Taluk BagalkotBagalkot BAGALKOT(Dist) Karnataka Pincode - 587111"
"Siddharth Pre-University College Bidar, Karnataka","(08482) 227764","Janawada RoadJanwadaBidar BIDAR(Dist) Karnataka Pincode - 585401"
"Silas International School Udupi, Karnataka","(0820) 2582607, 2581707","HanumanthanagarPuttur B.P.O.Udupi UDUPI(Dist) Karnataka Pincode - 576105"
"Smartkidz Play School Bidar, Karnataka","8483270942","Wadgire HouseHousing Board Colony HumnabadBidar BIDAR(Dist) Karnataka Pincode - 585105"
"Smartkidz Play School Bidar, Karnataka","9916810879","H.No.11592.Basava NilayaShivpur RoadNear Naganna Katti TripuranthBasavakalyan BIDAR(Dist) Karnataka Pincode - 585105"
"Smt Parvathamma Shamanur Shivashankarappa English Medium Residential School (Pssemr) Davangere, Karnataka","(08192) 208422, 208423, 208434","ShivagangotriTolahunseP.B. 252 DAVANGERE(Dist) Karnataka Pincode - 577002"
"Somaiya Shishu Niketan Primary School Bagalkot, Karnataka","(08350) 260047","SameerwadBagalkot BAGALKOT(Dist) Karnataka"
"Smt. Halamma Shamanur Shivappa Nursery Primary And High School Davangere, Karnataka","(08180) 240300","(Near Raghavendra Temple) P.B. Road HariharDavanagere DAVANGERE(Dist) Karnataka Pincode - 577601"
"Sree Siddaganga School For Blind Tumkur, Karnataka","(0816) 2282411, 9449306301","Sree Siddaganga MathTumkurIndia TUMKUR(Dist) Karnataka Pincode - 561204"
"Sree Swamy Vivekananda P.U. College Tumkur, Karnataka","(08139) 288165, (08139) 2282411","TuruvekereTumkur TUMKUR(Dist) Karnataka Pincode - 572227"
"Sri Bhuvandendra Residential School Udupi, Karnataka","(08258) 2735078, 2717487","Madhav NagarNear Industrial AreaKarkala UDUPI(Dist) Karnataka Pincode - 574104"
"Sri Kalikamba High School Mandya, Karnataka","(08232) 235270","Doddarasanakere P.O.K.M. DoddiMandya MANDYA(Dist) Karnataka Pincode - 571422"
"Sri Ranganath International School (Sri) Bagalkot, Karnataka","(08354) 201201, 9243600629","#54/1.Belgaum- Raichur RoadShigikeriBagalkot BAGALKOT(Dist) Karnataka Pincode - 587111"
"Sri Kodanda Rama Swamy High School Kolar, Karnataka","(08159) 240455","Gudipalli RoadMitturMulbagal KOLAR(Dist) Karnataka Pincode - 563131"
"Sri Sathya Sai Loka Seva Boys High School Kolar, Karnataka","(08156) 262102, 262103, 262105","Sathya Sai GramaP.O. MuddenahalliKolar KOLAR(Dist) Karnataka Pincode - 562101"
"Sri Sri Ravishankar Bal Mandir Shimoga, Karnataka","(08182) 222281, 9448254121","Old MAMCOS BuildingBeside Kote Police StationShimoga SHIMOGA(Dist) Karnataka Pincode - 577202"
"Sri Sathya Sai Vidya Niketan Chikballapur, Karnataka","(08150) 282309","Sri Sathya Sai NagarBagepallyChikballapur CHIKBALLAPUR(Dist) Karnataka Pincode - 561207"
"Sri Sri Ravishankar Bal Mandir Tumkur, Karnataka","(08186) 533991, 9886282313","Abhijith NilayaNear Sarapani AshramaOld Tuda officeNear Belagumba Road TUMKUR(Dist) Karnataka Pincode - 572101"
"Sri Taralabalu Jagadguru Residential School (S.T.J.) Davangere, Karnataka","(08192) 220017, 220117","Anubhava MantapaDavanagere DAVANGERE(Dist) Karnataka Pincode - 577004"
"St Joseph's Kannada Higher Primary School Shimoga, Karnataka","(08183) 228009","SagarShimoga SHIMOGA(Dist) Karnataka Pincode - 577401"
"St. Martha's Pre University College Chickmagalur, Karnataka","(08263) 220425","Mudigere Post and TalukChikmagalur CHICKMAGALUR(Dist) Karnataka Pincode - 577132"
"The Jain International School Kolar, Karnataka","9945003972, 9379628866, (080) 26500895","G.K.M. ComplexAC Abdul Ali RoadSeshachala Mudaliar Cross RoadOpp. Bangarpet Police Station KOLAR(Dist) Karnataka Pincode - 563114"
"T.V.S. School Tumkur, Karnataka","08186-280531","Opp. H.M.T. Main GateTumkur TUMKUR(Dist) Karnataka Pincode - 572103"
"The T.V.S. Academy Tumkur, Karnataka","(0816) 2243112, (0816) 2243278","PandithanahalliHirehalli PostTumkur TUMKUR(Dist) Karnataka Pincode - 572168"
"V.D.S. Girls High School Gadag, Karnataka","(08372) 278573","K.C. Rani RoadBetageriGadag GADAG(Dist) Karnataka Pincode - 582101"
"Vidya Independent P.U. Science College Bidar, Karnataka","(08482) 226184, 225192","Akkamahadevi ColonyBVB College RoadBidar BIDAR(Dist) Karnataka Pincode - 585403"
"Vidyavaridhi International School Tumkur, Karnataka","(08133) 321404, (08133) 256072","Suvarnamukhi CampusBallakatteHuliyarTumkur TUMKUR(Dist) Karnataka Pincode - 572218"
"Bangalore International School Bangalore, Karnataka","080 - 28445852","Hennur Bagalur RoadKothanur BANGALORE(Dist) Karnataka Pincode - 560077"
"B G S International Residential School Bangalore Rural, Karnataka","80 28437653","NithyanandanagarKengeri HoblGollahalli Post, BANGALORE RURAL(Dist) Karnataka Pincode - 560060"
"Kangaroo Kids Bangalore, Karnataka","080 41154678","st Cross Roadindira Nagar BANGALORE(Dist) Karnataka Pincode - 560034"
"Gaia Preschool And Child Care Centre Bangalore, Karnataka","(080)32405263/64","RTNagar BANGALORE(Dist) Karnataka Pincode - 560032"
"Chettinad Vidhyashram Kolar, Karnataka","(081) 52222597","Bangalore-Chennai By-Pass Road P.C. Halli Extension Pavan NagarKolar KOLAR(Dist) Karnataka Pincode - 563101"
"American Friendship Residential School Kolar, Karnataka","","P.O. Gudibanda KOLAR(Dist) Karnataka Pincode - 561209"
"Bangalore Military School Bangalore Rural, Karnataka","","P.B.No.25040Richmond Town BANGALORE RURAL(Dist) Karnataka Pincode - 560025"
"Belgaum Military School Belgaum, Karnataka","","Belgaum BELGAUM(Dist) Karnataka Pincode - 590009"
"Jain International Residential School Bangalore Rural, Karnataka","","JakkasandraKanakapura Tulak BANGALORE RURAL(Dist) Karnataka Pincode - 562112"
"Kittur Rani Channamma Residential School For Girls Bailhongal, Karnataka","","Kittur BAILHONGAL(Dist) Karnataka Pincode - 591115"
"Pssemr School Davangere, Karnataka","","ShivagangotriTolahunseP.B.252 DAVANGERE(Dist) Karnataka Pincode - 577002"
"Sandur Residential Composite Junior College Bellary, Karnataka","","ShivpurSandur BELLARY(Dist) Karnataka Pincode - 583119"
"Sharada Residential School Udupi, Karnataka","","Kunjibettu UDUPI(Dist) Karnataka Pincode - 576102"
"Trio World School Bangalore, Karnataka","","Kodigehalli Main RoadSahakar Nagar BANGALORE(Dist) Karnataka Pincode - 560092"
"Sharanabasaveshwar Public School Gulbarga, Karnataka","","Gulbarga GULBARGA(Dist) Karnataka Pincode - 585103"
"Baldwin Boys' High School Bangalore, Karnataka","080-22211981","Richmond Town BANGALORE(Dist) Karnataka"
"Baldwin Girls' High School Bangalore, Karnataka","080-22211743 , 080-22214125","Richmond Road BANGALORE(Dist) Karnataka"
"Bishop Cotton Boys' School Bangalore, Karnataka","080-22213608 , 080-22213835","St. Mark's Road BANGALORE(Dist) Karnataka"
"Bishop Cotton Girls' School Bangalore, Karnataka","080-22210268 , 080-22213083","St. Mark's Road BANGALORE(Dist) Karnataka"
"Clarence High School Bangalore, Karnataka","080-25470868 , 080-25474555","Richards Town BANGALORE(Dist) Karnataka"
"Cluny Convent High School Bangalore, Karnataka","080-23346536","11th Mn RoadMalleswaram BANGALORE(Dist) Karnataka"
"The Frank Anthony Public School Bangalore, Karnataka","080-25540973","13 Cambridge RoadUlsoor BANGALORE(Dist) Karnataka"
"Sacred Heart Girls' High School Bangalore, Karnataka","080-22211237","Museum Road BANGALORE(Dist) Karnataka"
"Seventh Day Adventist Higher Secondary School Bangalore, Karnataka","080-25514606 , 080-25552426","98 Spencer RoadFrazer Town BANGALORE(Dist) Karnataka"
"The Cathedral High School Bangalore, Karnataka","080-25574819 , 080-25572656","63 Richmond Road BANGALORE(Dist) Karnataka"
"Sophia High School Bangalore, Karnataka","080-22266825","70 Palace Road BANGALORE(Dist) Karnataka"
"St. Francis Xavier Girls' High School Bangalore, Karnataka","080-25368222","49 Promenade RoadFraser Town BANGALORE(Dist) Karnataka"
"St. Charles High School Bangalore, Karnataka","080-25463987 , 080-25465231","St. Thomas Town P.O. BANGALORE(Dist) Karnataka"
"St. Germn High School Bangalore, Karnataka","080-25511353","Fraser TownP.O. Box No. 504 BANGALORE(Dist) Karnataka"
"St. John's High School Bangalore, Karnataka","080-25361456 , 080-25309727","132 St. John's Church RoadCleveland TownP.B. No. 505 BANGALORE(Dist) Karnataka Pincode - 560005"
"St. Joseph's Boys High School Bangalore, Karnataka","080-22214416 , 080-22106706","#27 Museum RoadP.O. Box No. 25003 BANGALORE(Dist) Karnataka"
"Cambridge School Bangalore, Karnataka","080-25612067 , 080-25614581","Basavanapura Mn RoadK. R. Puram BANGALORE(Dist) Karnataka"
"Bethany High School Bangalore, Karnataka","080-25533603","CA - 1220th Mn6th Block Koramangala Layout BANGALORE(Dist) Karnataka"
"B.P. Indian Public School Bangalore, Karnataka","080-23347314","V. Mn RoadPost Box No. 395Malleswaram BANGALORE(Dist) Karnataka"
"Presidency School Bangalore, Karnataka","080-23493291 , 080-23496742","Nandini Layout BANGALORE(Dist) Karnataka"
"Bangalore Public School Bangalore, Karnataka","080-25273660","5th Cross 18th MnH.A.L.-II Stage BANGALORE(Dist) Karnataka"
"Presidency School Bangalore, Karnataka","080-23335860 , 080-23337689","R.T. NagarCA - 4H.M.T. Layout BANGALORE(Dist) Karnataka"
"Tunbridge High School Bangalore, Karnataka","080-25582813 , 080-25321785","86 / 2Infantry Road BANGALORE(Dist) Karnataka"
"St. Mira's English School Bangalore, Karnataka","080-358522","6th BlockRajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"New Horizon Public School Bangalore, Karnataka","080-25261021","100 Feet RoadIndiranagar BANGALORE(Dist) Karnataka"
"Mallya Aditi International School Bangalore, Karnataka","080-40447000","Post Box No. 6427Yelahanka BANGALORE(Dist) Karnataka"
"St. Paul's English School Bangalore, Karnataka","080-26582710 , 080-26584619","3rd Cross 3rd PhaseJ.P. Nagar BANGALORE(Dist) Karnataka"
"The Oxford English School Bangalore, Karnataka","080-30410501/502 , 080-30410508/522","1st PhaseJ.P. Nagar BANGALORE(Dist) Karnataka"
"Florence Public School Bangalore, Karnataka","080-23531747 , 080-23333938","No. 6 P & T ColonyR.T. Nagar BANGALORE(Dist) Karnataka"
"The Eastwood High School Bangalore, Karnataka","080-25363923","2 Cambridge LayoutSomeswarapurUlsoor BANGALORE(Dist) Karnataka"
"Innisfree House School Bangalore, Karnataka","080-26597110","9th Cross23rd MnJ.P. Nagar BANGALORE(Dist) Karnataka"
"Carmel School Bangalore, Karnataka","080-26691040 , 080-26690732","Padmanabh NagarII StageBanashankari BANGALORE(Dist) Karnataka"
"New Public English School Bangalore, Karnataka","080-23351087","No. 317th CrossMagadi Chord RoadVijaya Nagar BANGALORE(Dist) Karnataka"
"St. Mary's Public School Bangalore, Karnataka","080-22202854 , 080-22280438","13 Queens Road BANGALORE(Dist) Karnataka"
"Clarence Public School Bangalore, Karnataka","080-26584245 , 080-26494420","No. 7107th Mn III PhaseJ.P. Nagar BANGALORE(Dist) Karnataka"
"Little Flower Public School Bangalore, Karnataka","080-26421964 , 080-26422696","#1 Banashankari III Stage BANGALORE(Dist) Karnataka"
"St. Ann's High School Bangalore, Karnataka","080-23352659","80 Feet Road6th BlockRajaji Nagar BANGALORE(Dist) Karnataka"
"Vidya Niketan School Bangalore, Karnataka","080-23620454","No. 30KempapuraHebbal BANGALORE(Dist) Karnataka"
"S. Cadambi Vidya Kendra English Sec. School Bangalore, Karnataka","080-23226019","CA - 210th MnWest of Chord RoadBasweshwarnagar BANGALORE(Dist) Karnataka"
"Vivekananda Educational Centre Bangalore, Karnataka","080-26633167 , 080-25658347","No. 14th Block EastJayanagar BANGALORE(Dist) Karnataka"
"Twinklers School Bangalore, Karnataka","080-26646779 , 080-28433129","15th Cross 6th PhaseJ.P. Nagar BANGALORE(Dist) Karnataka"
"Sri Kumaran Public School Bangalore, Karnataka","080-65839368 , 080-65839370","Sy. No. 44 to 48Mallasandra VillageUttarahalli HobliBangalore South Taluk BANGALORE(Dist) Karnataka"
"Sree Rama Vidyalaya Bangalore, Karnataka","080-64501589 , 080-64501588","9th Mn2nd BlockJaya Nagar BANGALORE(Dist) Karnataka Pincode - 560011"
"Modern English Medium School Bangalore, Karnataka","080-26586821 , 080-26588631","No. 166th 'B' MnIII PhaseJ.P. Nagar BANGALORE(Dist) Karnataka"
"Sishu Griha English School Bangalore, Karnataka","080-25213940 , 080-25213941","No. 3 H.A.L. III StageNew Thippasandra Post BANGALORE(Dist) Karnataka Pincode - 560075"
"Acharya Pathasala Public School Bangalore, Karnataka","","Narasimha Raja Colony BANGALORE(Dist) Karnataka Pincode - 560019"
"National Academy For Learning Bangalore, Karnataka","080-23239281 , 080-23401567","III Cross III StageIII - BlockBasweshwarnagar BANGALORE(Dist) Karnataka"
"St. Thomas Public School Bangalore, Karnataka","080-25282890","32 Church RoadNew ThippasandraIndira Nagar BANGALORE(Dist) Karnataka"
"Dayananda Sagar International School Bangalore, Karnataka","080-26665463 , 080-26660789","Kumaraswamy Layout BANGALORE(Dist) Karnataka Pincode - 560078"
"Carmel High School Bangalore, Karnataka","080-23227015","II - Block III StageJudges' ColonyWest of Chord RoadBasaweshwaranagar BANGALORE(Dist) Karnataka Pincode - 560079"
"Sri Vani Public School Bangalore, Karnataka","080-23322239","1246II Stage Rajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"R.T. Nagar Public School Bangalore, Karnataka","080-23542040 , 080-23535282","I Mn 'A' CrossKanakanagarR.T. Nagar Post BANGALORE(Dist) Karnataka Pincode - 560032"
"Daffodils English School Bangalore, Karnataka","","Postal ColonyRajamahal VilasII StageSanjaynagar BANGALORE(Dist) Karnataka"
"Acts Secondary School Bangalore, Karnataka","080-65307156 , 080-65370157","15 KM Hosur RoadElectronic City Post BANGALORE(Dist) Karnataka Pincode - 560100"
"Bangalore International School Bangalore, Karnataka","080-28465059 , 080-28465060","GeddalahaliHennur Bagallur RoadKothanur Post BANGALORE(Dist) Karnataka"
"Shalini Kannada And English Primary School Bangalore, Karnataka","080-25470576 , 080-25473316","Siddappa GardenLingarajapuram BANGALORE(Dist) Karnataka"
"Cambridge Public School Bangalore, Karnataka","080-25729281","80 Feet Road4th BlockKoramangala BANGALORE(Dist) Karnataka"
"Cambridge Public School Bangalore, Karnataka","080-25723839 , 080-25727335/6","58 / 1 Sector 1H.S.R. Extension BANGALORE(Dist) Karnataka Pincode - 560034"
"International School Bangalore, Karnataka","080-27822555 , 080-27822393","WhitefieldSarjapur RoadNear Dommandra Circle BANGALORE(Dist) Karnataka Pincode - 562125"
"Rashtreeya Vidyalaya Public School Bangalore, Karnataka","080-26569588","Rashtreeya Vidyalaya RoadNear Lalbagh West GateVisweswarapuram BANGALORE(Dist) Karnataka"
"Auden Institute Of Education Bangalore, Karnataka","080-26721901 , 080-26727745","No. 17 Girinagar3rd StageVIIth BlockBanashankari BANGALORE(Dist) Karnataka"
"Appollo National Public School Bangalore, Karnataka","080-26698907","5th Cross 5th MnB.S.K. - IIIIII - Phase V - Block BANGALORE(Dist) Karnataka"
"Vidyashilp Academy Bangalore, Karnataka","080-28563678","Post Box No. 6437ShivanahalliYelahanka Hobli BANGALORE(Dist) Karnataka Pincode - 560064"
"Miranda English Medium School Bangalore, Karnataka","080-25281760 , 080-25253284","10th Mn 6th CrossH.A.L. III Stage BANGALORE(Dist) Karnataka Pincode - 560075"
"Maruthi Vidyalaya Bangalore, Karnataka","080-30949211 , 080-25420711","No. 85 / 2Horamavu AgaraBank Avenue Extension BANGALORE(Dist) Karnataka Pincode - 560043"
"St. Charles High School Bangalore, Karnataka","080-25421900 , 080-25451149","KammanahalliSt. Thomas Town BANGALORE(Dist) Karnataka Pincode - 560084"
"Mount Senoria School Bangalore, Karnataka","080-23720500","No. 82 SwathantraYodhara NagarLaggere BANGALORE(Dist) Karnataka Pincode - 560058"
"The Sudarshan Vidya Mandir I.C.S.E. Academy Bangalore, Karnataka","080-26646221 , 080-26641982","26th 'A' Mn Road4th T - BlockJayanagar BANGALORE(Dist) Karnataka Pincode - 560041"
"Lowry Memorial High School Bangalore, Karnataka","080-28510069/625-080-28517987","Dooravani Nagar Post BANGALORE(Dist) Karnataka"
"Holy Angel's High School Bangalore, Karnataka","080-23404465","4th CrossR.P.C. LayoutVijayanagar BANGALORE(Dist) Karnataka"
"India International School Bangalore, Karnataka","080-28439001 , 080-28439002","26 / 1 Chikka Bellandur VillageCarmelram Post BANGALORE(Dist) Karnataka"
"S.S.B. International School Bangalore, Karnataka","080-65734004 , 9945234098","No. 5 / AH.A.L. II StageIndiranagar BANGALORE(Dist) Karnataka"
"Auxilium School Bangalore, Karnataka","080-28473594 , 080-28472364","Bandapura VillageOld Madras RoadVirgoanagar Post BANGALORE(Dist) Karnataka Pincode - 560049"
"R.N.S. Vidyaniketan Bangalore, Karnataka","080-23397666 , 080-23398922","324 Bunts' Sangha ComplexChord RoadVijayanagar BANGALORE(Dist) Karnataka"
"St. Flowers English Medium School Bangalore, Karnataka","080-23408832","No. 1451Cholurpalaya BANGALORE(Dist) Karnataka"
"South East Asian International School Bangalore, Karnataka","080-25613741 , 080-25613742","Ekta NagarNo. 23 Basavanapura GramaK.R. Puram HubliiVirgo Nagar BANGALORE(Dist) Karnataka"
"St. Dominic's School Bangalore, Karnataka","","Jigala RoadAttibeleAnekal Taluk BANGALORE(Dist) Karnataka"
"New Baldwin English Primary School Bangalore, Karnataka","080-25453799 , 080-25457389","No. 25 Ramamurthy NagarMn RoadDoddaBanaswadi BANGALORE(Dist) Karnataka"
"Deccan International School Bangalore, Karnataka","080-26393704","PadmanabhanagarUttarahalli HobliChikkalsandra BANGALORE(Dist) Karnataka"
"Divine English School Bangalore, Karnataka","080-23379188 , 080-23374691","No. 6401st Mn RoadYeshwanthpura BANGALORE(Dist) Karnataka"
"Embassy Public School Bangalore, Karnataka","080-23580252 , 080-23580253","No. 60ChikkagollarahalliMagadi Mn Road BANGALORE(Dist) Karnataka Pincode - 560091"
"School Vivekananda Bangalore, Karnataka","080-23433559 , 080-65313205","No. 1350'A' - BlockSahakaranagar BANGALORE(Dist) Karnataka"
"Swargarani School Bangalore, Karnataka","080-28601826-080-28602115","B.E.M.L. LayoutRajarajeshwari Nagar BANGALORE(Dist) Karnataka"
"Sarala Birla Academy Bangalore, Karnataka","080-41348200 , 080-41348203/04","Jigni RoadBannerghatta BANGALORE(Dist) Karnataka"
"Seshadripuram Public School Bangalore, Karnataka","080-22955376","Mother Dry RoadYelahanka New Town BANGALORE(Dist) Karnataka"
"St. Peter's School Bangalore, Karnataka","","Sy. No. 56 & 58KkondrahalliBefore Wipro CampusSarjapura Road BANGALORE(Dist) Karnataka"
"Baldwin Co-Education Extension High School Bangalore, Karnataka","080-28601536","2nd Cross10th Mn 5th StageB.E.M.L. LayoutRajarajeshwari Nagar BANGALORE(Dist) Karnataka"
"Prakriya Green Wisdom School Bangalore, Karnataka","080-28440925 , 080-65636391","Post Box 23 Plot #70Chikkanayakanahalli RoadOff DoddakaneliSarjapura Road BANGALORE(Dist) Karnataka"
"St. Francis School Bangalore, Karnataka","080-25531076 , 080-25500123","Post Box No. 3417Koramangala BANGALORE(Dist) Karnataka"
"Sri Vani Education Centre Bangalore, Karnataka","080-23238608 , 080-23228078","C.A. Site No. 14th 'B' Mn 3rd Block3rd Stage Basaveshwaranagar BANGALORE(Dist) Karnataka"
"Fusco's School Bangalore, Karnataka","080-25297158","Old Madras RoadIndiranagar BANGALORE(Dist) Karnataka"
"Swaminarayan International School Bangalore, Karnataka","080-32985000 , 080-28437261","Mysore RoadP.O. Kumbalgodu BANGALORE(Dist) Karnataka"
"The Regency Public School Bangalore, Karnataka","080-23642370 , 080-64502511","5/1 A.M.S. ExtensionVidyaranyapura BANGALORE(Dist) Karnataka"
"M.E.S. Kishore Kendra Public School Bangalore, Karnataka","","C.A. Site No. 5BEE HBCSVidyaranyapuraYeshwanthapura BANGALORE(Dist) Karnataka"
"Cambridge Public School Bangalore, Karnataka","080-28462800 , 080-25994901","C.A. Site No. 15Sector - ANew TownYelahanka BANGALORE(Dist) Karnataka"
"Patel Public School Bangalore, Karnataka","080-25450466","Subbhna Palya BANGALORE(Dist) Karnataka"
"New Millennium School Bangalore, Karnataka","080-65989755 , 080-28445812","HoramavuAgara BANGALORE(Dist) Karnataka"
"Shree Bharathi Vidyalaya Bangalore, Karnataka","080-23112134","CA 14Pipeline10th CrossVijayanagar BANGALORE(Dist) Karnataka"
"S.J.R. Kengeri Public School Bangalore, Karnataka","080-28484675","CA Site No. 193rd Mn RoadKengeri Satellite Town BANGALORE(Dist) Karnataka"
"Ryan International School Bangalore, Karnataka","080-65709795 , 080-65709796","No. 2Vederapura VillageGentiganahalliYelahanka BANGALORE(Dist) Karnataka"
"St. Vincent Pallotti School Bangalore, Karnataka","080-25603768 , 080-49535226","Babusahib Palya BANGALORE(Dist) Karnataka"
"New Baldwin International Residential School Bangalore, Karnataka","080-28470864 , 080-28470873","Survey No. 128/P 14 & 182Mandoor-Boodigere Road BANGALORE(Dist) Karnataka"
"St. Dominic's School Bangalore, Karnataka","080-26394233","ChikkalasandraSubramanyapura Post BANGALORE(Dist) Karnataka Pincode - 560061"
"M G School For Excellence Bangalore, Karnataka","080-26485985-080-65628565","171 Someshwara Temple RoadBilekahalliBannerghatta Road BANGALORE(Dist) Karnataka"
"Lady Vlankanni English School Bangalore, Karnataka","080-28538201 , 080-25969179","VarthurBehind Vinayaka Theatre BANGALORE(Dist) Karnataka"
"Kenneth George English School Bangalore, Karnataka","080-23533329","7th Cross Shri Bhuvaneshwari NagarCoffee Board LayoutKempapura BANGALORE(Dist) Karnataka Pincode - 560024"
"Ryan International School Bangalore, Karnataka","080-27828213 , 080-27828214","Survey No. 13 GollahalliBannerghatta Mn RoadJigni HobliAnekal Taluk BANGALORE(Dist) Karnataka Pincode - 560083"
"Aradhana School Bangalore, Karnataka","080-26585781","I.I.M. PostArekereBannerghatta Road BANGALORE(Dist) Karnataka Pincode - 560076"
"Amarajyothi English Primary School Bangalore, Karnataka","080-5613555","DevasandraKrishnarajapuram BANGALORE(Dist) Karnataka Pincode - 560036"
"V.E.S. Model Convent Bangalore, Karnataka","080-28430305 , 080-28434407","No. 63 Old Sy. No. 195/196Magadi Mn RoadTavarekere BANGALORE(Dist) Karnataka Pincode - 562130"
"Triveni Public School Bangalore, Karnataka","080-23721148 , 080-28397648","S. No. 39Hesaraghatta Mn RoadNagasandra P.O.Bagalagunte BANGALORE(Dist) Karnataka"
"Gopalan International School Bangalore, Karnataka","080-40936034 , 080-42184340","Hoodi VillageK.R. Puram HobliWhitefield Road BANGALORE(Dist) Karnataka Pincode - 560048"
"Gopalan National School Bangalore, Karnataka","080-4155409 , 080-65995703","Plot No. 13Doddenakundi II PhaseBrookefield Road BANGALORE(Dist) Karnataka"
"Jubilee International Public School Bangalore, Karnataka","080-23182191","No. 14/13rd Mn Papareddy PalyaNagarabhavi 2nd Stage BANGALORE(Dist) Karnataka"
